Date;From;To;Flight_Number;Airline;Distance;Duration;Seat;Seat_Type;Class;Reason;Plane;Plane2;Plane3;Plane4;Plane5;Trip;Note;From_OID;To_OID;Airline_OID;Plane_OID
- -;ACE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1742;03:59;;;;;320;;;;;;Codeshare;1055;1678;4559;
- -;AGP;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;857;02:12;;;;;320;AR1;;;;;Direct;1230;1665;4559;
- -;AGP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;998;02:29;;;;;321;320;;;;;Direct;1230;1678;4559;
- -;AMS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;320;AR1;;;;;Direct;580;1678;4559;
- -;ARN;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1044;02:35;;;;;320;319;;;;;Direct;737;1665;4559;
- -;ARN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;923;02:20;;;;;320;321;;;;;Direct;737;1678;4559;
- -;ATH;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1075;02:39;;;;;320;319;;;;;Direct;3941;1665;4559;
- -;ATH;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1018;02:32;;;;;321;;;;;;Direct;3941;1678;4559;
- -;AYT;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1344;03:11;;;;;320;;;;;;Codeshare;1688;1678;4559;
- -;BAH;DOH;Swiss International Air Lines (LX);Swiss International Air Lines;91;00:40;;;;;333;;;;;;Codeshare;2057;11051;4559;
- -;BCN;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;510;01:31;;;;;AR1;;;;;;Codeshare;1218;1423;4559;
- -;BCN;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;395;01:17;;;;;320;319;AR1;;;;Direct;1218;1665;4559;
- -;BCN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;531;01:33;;;;;321;320;;;;;Direct;1218;1678;4559;
- -;BEG;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;692;01:53;;;;;320;;;;;;Direct;1739;1665;4559;
- -;BEG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;590;01:40;;;;;320;100;;;;;Direct;1739;1678;4559;
- -;BHX;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;571;01:38;;;;;100;AR1;;;;;Direct;469;1678;4559;
- -;BKK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5622;11:44;;;;;343;;;;;;Direct;3885;1678;4559;
- -;BOM;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4061;08:37;;;;;333;;;;;;Direct;2997;1678;4559;
- -;BOS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3732;07:57;;;;;333;;;;;;Direct;3448;1678;4559;
- -;BRU;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;266;01:01;;;;;319;AR1;;;;;Codeshare;302;1423;4559;
- -;BRU;DLA;Swiss International Air Lines (LX);Swiss International Air Lines;3252;07:00;;;;;332;;;;;;Codeshare;302;897;4559;
- -;BRU;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;330;01:09;;;;;320;319;AR1;;;;Codeshare;302;1665;4559;
- -;BRU;LIN;Swiss International Air Lines (LX);Swiss International Air Lines;436;01:22;;;;;AR1;319;;;;;Direct;302;1529;4559;
- -;BRU;NSI;Swiss International Air Lines (LX);Swiss International Air Lines;3283;07:03;;;;;332;;;;;;Codeshare;302;4161;4559;
- -;BRU;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;299;01:05;;;;;AR1;320;;;;;Direct;302;1678;4559;
- -;BSL;BCN;Swiss International Air Lines (LX);Swiss International Air Lines;510;01:31;;;;;AR1;;;;;;Codeshare;1423;1218;4559;
- -;BSL;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;266;01:01;;;;;319;AR1;;;;;Codeshare;1423;302;4559;
- -;BSL;FCO;Swiss International Air Lines (LX);Swiss International Air Lines;461;01:25;;;;;AR1;;;;;;Codeshare;1423;1555;4559;
- -;BSL;FRA;Swiss International Air Lines (LX);Swiss International Air Lines;175;00:51;;;;;CR7;;;;;;Codeshare;1423;340;4559;
- -;BSL;HAM;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;AR1;;;;;;Codeshare;1423;342;4559;
- -;BSL;LCY;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;AR1;;;;;;Codeshare;1423;503;4559;
- -;BSL;MUC;Swiss International Air Lines (LX);Swiss International Air Lines;203;00:54;;;;;CR7;CR9;;;;;Codeshare;1423;346;4559;
- -;BSL;PRG;Swiss International Air Lines (LX);Swiss International Air Lines;351;01:12;;;;;AR1;;;;;;Codeshare;1423;1587;4559;
- -;BSL;VIE;Swiss International Air Lines (LX);Swiss International Air Lines;420;01:20;;;;;DH4;;;;;;Codeshare;1423;1613;4559;
- -;BUD;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;499;01:29;;;;;AR1;100;320;319;;;Direct;1489;1678;4559;
