Date;From;To;Flight_Number;Airline;Distance;Duration;Seat;Seat_Type;Class;Reason;Plane;Registration;Trip;Note;From_OID;To_OID;Airline_OID;Plane_OID
-;BDS;ZRH;;Helvetic Airways (2L);661;01:49;;;;;100;;;Direct;1506;1678;2750;
-;BOD;ZRH;;Helvetic Airways (2L);478;01:27;;;;;100;;;Direct;1264;1678;2750;
-;BRS;ZRH;;Helvetic Airways (2L);573;01:38;;;;;100;;;Direct;490;1678;2750;
-;GVA;LPA;;Helvetic Airways (2L);1720;03:56;;;;;319;;;Direct;1665;1054;2750;
-;LCA;ZRH;;Helvetic Airways (2L);1555;03:36;;;;;319;;;Direct;1197;1678;2750;
-;LPA;ZRH;;Helvetic Airways (2L);1863;04:13;;;;;319;;;Direct;1054;1678;2750;
-;RMF;ZRH;;Helvetic Airways (2L);2072;04:38;;;;;319;;;Direct;4197;1678;2750;
-;TFS;GVA;;Helvetic Airways (2L);1758;04:00;;;;;319;;;Direct;1056;1665;2750;
-;ZRH;BDS;;Helvetic Airways (2L);661;01:49;;;;;100;;;Direct;1678;1506;2750;
-;ZRH;BOD;;Helvetic Airways (2L);478;01:27;;;;;100;;;Direct;1678;1264;2750;
-;ZRH;BRS;;Helvetic Airways (2L);573;01:38;;;;;100;;;Direct;1678;490;2750;
-;ZRH;LCA;;Helvetic Airways (2L);1555;03:36;;;;;319;;;Direct;1678;1197;2750;
-;ZRH;LPA;;Helvetic Airways (2L);1863;04:13;;;;;319;;;Direct;1678;1054;2750;
-;ZRH;RMF;;Helvetic Airways (2L);2072;04:38;;;;;319;;;Direct;1678;4197;2750;
